"CrashDate","CrashYear","CrashMonth","CrashDay","CrashTime","LightCondition","Weather","County","CityVillageTownshipName","Lat","Long","PedestrianRelated","BicycleRelated","Narrative"
2019-09-11,2019,9,11,02:01:00,"Dark - Lighted Roadway","Clear","Cuyahoga County","Cleveland",41.467068,-81.783189,TRUE,FALSE,"Unit 2 is stopped on IR 90 W/B in the number 4 and partially in the number 3 lanes after becoming disabled from an accident occuring at 0154 hours.  Unit 3; a pedestrian; is standing on the road (lanes of travel or shoulder).  Passenger of Unit 2 is partially in the vehicle looking for a phone.  Unit 1 is W/B on IR 90 and fails to observe the unexpected; stopped Unit 2 and then travels onto the north shoulder striking the concrete wall.  Unit 1 also strikes Unit 3 during this sequence of events.  Unit 1 continues westerly and comes to a stop.  Driver of Unit 1 states she was distracted by a bug that flew into her vehicle.    Supplement: Further investigation: The Cuyahoga Medical Examiner's verdict was received.    1. Mr Cordero's official cause of death is listed as: blunt force head; trunk; and extremity trauma with visceral; vascular; skeletal; and soft tissue injuries. Auto-Pedestrian accident.    2. Alcohol/Drug test results updated. Alcohol detected."
2019-07-06,2019,7,6,20:10:00,"Daylight","Cloudy","Summit County","Green",40.959465,-81.473838,FALSE,TRUE,"Units #1 & 2 were WB on Boettler Rd at 1474.  Units 1&2 were in the right lane.  Unit 1 moved to the center turn lane to pass Unit 2 and failed to sound an audible signal prior to passing Unit 2.  Unit 2 moved from right lane to center turn lane; failing to utilize hand and arm signals; and failing to make the lane change without first ascertaining it could be made safely.  Unit 1 struck/was struck by Uni 2 with the left side of Unit 2 contacting the side of Unit 1.  James Holda; the rider of Unit 2; sustained serious injuries as a result of the collision and was transported by Green Fire to Akron Summa Hospital.  On July 27th; 2019; Mr Holda passed away due to injuries sustained in the collision."
2019-07-26,2019,7,26,05:27:00,"Dark - Roadway Not Lighted","Clear","Summit County","Coventry (Township of)",40.997463,-81.547722,TRUE,FALSE,"Unit 1 was EB on Statemill Rd. Mr Kotys (Unit 2) was walking EB in the lane of travel. Mr Domin was walking with Mr Kotys south of the EB lane fog line. Unit 1 struck Mr Kotys (Unit 2) with the left front corner of Unit 1. Mr Kotys was transported to Akron City Summa Hospital where life saving measures failed; and he died from injuries sustained from this crash."
2019-10-27,2019,10,27,22:37:00,"Dark - Roadway Not Lighted","Clear","Hamilton County","Springfield (Township of)",39.220027,-84.517887,TRUE,FALSE,"Unit 1 was traveling NB in the 8400 block of Winton Rd. Unit 2 (a pedestrian diagnosed with Alzheimer's Disease) was crossing Winton Rd from east to west in an area not designated for crossing. As Unit 2 crossed Winton Rd; she entered the path of Unit 1. As both units continued; the front center portion of Unit 1 struck the left of Unit 2. Unit 1 came to a stop in the left NB lane. Unit 2 came to a rest next to the driver side of Unit 1 laying facedown. Unit 2 was transported to The University of Cincinnati Medical Center and treated for life-threatening injuries. Unit 2 was removed from life support and pronounced deceased by hospital staff on Monday; October 28th; 2019."
2019-09-21,2019,9,21,04:16:00,"Dark - Roadway Not Lighted","Clear","Mercer County","Marion (Township of)",40.392907,-84.493567,TRUE,FALSE,"Unit 1 was traveling EB on Ft Recovery-Minster Rd from SR 716. Unit 1 struck a pedestrian laying on the roadway. The pedestrian was later pronounced deceased on the scene of the accident."
2019-12-13,2019,12,13,23:44:00,"Dark - Lighted Roadway","Rain","Franklin County","Prairie (Township of)",39.952243,-83.128879,TRUE,FALSE,"Unit #2 was walking south across US40 and Murray Hill Rd at a marked crosswalk but when the signal was signaling do not walk. Unit #l was traveling east on US40 had a green light and struck unit #l while he was in the crosswalk. Unit #l then fled the scene continuing east on US40.     Supplement: This supplement is to change the injuries for Unit 2 on the motorist page and to add that alcohol and drug tests were given. The pedestrian (Unit 2) was pronounced deceased on 12/20/19 at 1703 hrs by attending physician at Grant Hospital; Columbus."
2019-12-30,2019,12,30,04:15:00,"Dark - Roadway Not Lighted","Rain","Franklin County","Madison (Township of)",39.901052,-82.885896,TRUE,FALSE,"Unit 1; a pedestrian; was walking in the roadway north on Winchester Pike north of Daglow Rd. Unit 2 was driving north on Winchester Pike and struck Unit 1 just north of Daglow Rd.  Unit 1 was pronounced deceased at 0508hrs by Dr Chance Spaulding of Grant Hospital; Columbus."
2019-12-25,2019,12,25,22:56:00,"Dark - Lighted Roadway","Clear","Cuyahoga County","Cleveland",41.4669,-81.722248,TRUE,FALSE,"Unit 2 in company of Unit 3; stops in front of the residence of 3193 W 52nd St to drop off Unit 3. Unit 2 exits the vehicle and after removing her property from the vehicle is standing on the tree-lawn when Unit 1; heading NB on W 52nd; swerves to the right and crosses onto the tree lawn just north of 3205; whereupon; the right side of the vehicle comes into contact with a utility pole. As Unit 1 continues to travel NB while partially on the tree=lawn; the right front tire hits a tree and the left front corner of the vehicle hits the right rear corner of Unit 2. As Unit 1 is passing between the tree and Unit 2; the front left corner of Unit 1 hits Unit 3 who is on the tree-lawn next to Unit 2. The front right of Unit 1 then collides with a 2nd utility pole and shears it in half at the base. Unit 3 is dragged across the driveway of 3189 onto the tree-lawn where she is found laying partially on the tree-lawn and in the street. Unit 1 leaves the scene without stopping and continues to head NB on W 52nd St.  Unit 3 was conveyed by CEMS to MetroHealth Medical Center where she was confirmed to the ICU with serious life threatening injuries. On Thurdsay; 12/26/19 information was received leading to the recovery of Unit 1 and the arrest of driver 1. On Monday; 12/30/19 at approx 2220 hrs; Unit 3 was pronounced deceased at MetroHealth Medical Center."
2019-12-24,2019,12,24,07:06:00,"Dark - Lighted Roadway","Cloudy","Cuyahoga County","Cleveland",41.506907,-81.615356,TRUE,FALSE,"Unit 1 is SB on E105th St in the right lane approaching Park Ln. Unit 2; wearing dark outer clothing; is crossing E 105th St from the east to the west in the marked crosswalk but without the assistance of the flashing beacons which are activated by pushing a button on poles located on the roadside at each end of the crosswalk. A construction barrel is located on the roadway in the crosswalk along the west curb. The barrel is on top of a steel road plate. Unit 1 strikes Unit 2 who passes away on 12/26/19."
2019-12-30,2019,12,30,00:00:00,"Dawn/Dusk","Cloudy","Cuyahoga County","East Cleveland",41.535986,-81.576048,TRUE,FALSE,"Unit 2 was traveling westbound on Euclid Ave approaching Strathmore Rd. Unit #1 was on the south sidewalk of Euclid Ave in the area of the intersection of Euclid Ave and Strathmore Ave. Unit 1 attempted to cross Euclid Ave in the westside crosswalk of Strathmore Ave from the south sidewalk.  Unit 1 walked into the roadway traveling north when unit 2 struck unit 1. Unit 1 came to a final rest on the edge of the south sidewalk of Euclid Ave in the eastbound lanes of travel just west of 15050 Euclid Ave. Unit 2 came to a final rest in the center turning lane of Euclid Ave just west of 15050 Euclid Ave."
2019-12-10,2019,12,10,20:42:00,"Dark - Lighted Roadway","Clear","Butler County","Liberty (Township of)",39.369607,-84.372164,TRUE,FALSE,"Unit #2 was walking south crossing the street in a marked crosswalk on Liberty Way.  Unit #1 was traveling north on Tyler's Place Blvd. Unit #1 was in the left turn lane to turn left (west) on Liberty Way. Unit #1 had a green traffic signal. Unit #1 struck unit #2 as he was crossing the roadway."
2019-12-07,2019,12,7,01:14:00,"Dark - Roadway Not Lighted","Cloudy","Hamilton County","Miami (Township of)",39.197926,-84.735591,TRUE,FALSE,"Unit 1; a pedestrian; was lying in the westbound lane of travel in the 4900 block of E Miami River Rd. Unit 1 was observed by nearby video surveillance walking in and out of the street for approximately an hour prior to lying down in the street.    Unit 2 was traveling generally westbound on E. Miami River Rd in the 4900 block. The driver of unit 2 failed to observe unit 1 lying in the roadway due to the poor visibility in that area.  At this point the lower front portion of unit 2 struck and the vehicle traveled completely over unit 1.  This was evident by the damage sustained to the lower front portion; undercarriage; and the lower rear bumper portion of unit 2.     Unit 1 sustained fatal injuries as a result of the collision."
2019-12-30,2019,12,30,00:00:00,"Dark - Roadway Not Lighted","Rain","Lake County","Madison (Township of)",41.800992,-81.073691,TRUE,FALSE,"Unit #1 a pedestrian; was walking/running from N to S across N Ridge Rd (US20) at Green Rd (CR13).  As #1 proceeded to cross; Unit #1 was struck by Unit #2 which was traveling EB on N Ridge Rd."
2019-01-07,2019,1,7,20:11:00,"Dark - Lighted Roadway","Clear","Franklin County","Columbus",39.956872,-83.04499,TRUE,FALSE,"The collision occurred on W Broad St just east of the on ramp to I 70 EB.  Unit #2 stated he was traveling eastbound on W Broad St and had just changed lanes to the left turn lane to turn to the I 70 WB entrance ramp.  Driver of Unit #2 stated he saw the pedestrian; Unit #1; kneeling in the middle of the turn lane and was unable to avoid striking her with the front center of his van.  Witness #1 and #2 stated they saw Unit #1 earlier in the day in the middle of the roadway and recognized her as the same person in the middle of the turn lane on W Broad St; still wearing dark clothing.  Witness #1 and #2 stated they observed Unit #2 strike Unit #1 while she was hunched over in the lane with a cardboard sign in front of her face.  Witness #3 stated she was eastbound on W Broad St when she saw Unit #1 hunched over in the road with a sign in front of her face.  Witness #3 stated as she passed Unit #1 she heard a loud screech and saw Unit #1 flying forward in her mirror.  Unit #1 was transported to Mount Carmel West Hospital by CFD Medic 810 where he was pronounced at 2032."
2019-01-18,2019,1,18,20:23:00,"Other/Unknown","Clear","Lucas County","TOLEDO",41.70701,-83.59465,TRUE,FALSE,"Unit #1 was eastbound on W. Laskey; left lane.  Unit #1 struck Unit #2; which was crossing southbound from 2104 W. Laskey.  Unit #2 was transported to Toledo Hospital were he died. Unit #2 was a pedestrian crossing the street in an non-motorized wheelchair. Unit #2 did not cross in a crosswalk or at an intersection.  The roadway is lighted; but the lamp at 2104 W. Laskey was not operating when this officer arrived on-scene.  Both listed witnesses stated to this officer that Unit #2 was hard to see."
2019-02-04,2019,2,4,19:25:00,"Dark - Lighted Roadway","Rain","Franklin County","Columbus",39.9436,-82.97195,TRUE,FALSE,"On 02/04/2019 at 7:28 PM; officers responded to the intersection of E Whittier St and S Ohio Ave on the report of a pedestrian struck.  Bystanders stated they did not see the vehicle that struck the pedestrian; Unit 1.  Unit 1 was transported by Columbus Fire to Grant Hospital in critical condition.  Witness one was later found and stated she believed a black vehicle struck Unit 1.  Officers viewed crime camera footage from the area and observed a silver sedan traveling Westbound which struck Unit 1.  Unit 1 was reported to have been standing on the centerline when he was struck after crossing the roadway from the North."
2019-02-04,2019,2,4,19:01:00,"Dawn/Dusk","Cloudy","Franklin County","Columbus",40.050731,-82.95392,TRUE,FALSE,"The pedestrian; Unit #1 was walking west bound and was attempting to cross Cleveland Ave just south of the intersection of Ward Rd when she was struck by the unknown driver of unit #2.  The unknown driver of unit #2 was northbound on Cleveland Ave and was approaching the intersection of Ward Rd; when he/she did strike unit #1 while she was attempting to cross Cleveland Ave and he/she did leave the scene without stopping. The driver of unit #1 did continue northbound on Cleveland Ave and drove away into an unknown direction.  The pedestrian; Unit #1 was transported to Riverside Hospital and she was pronounced dead at 7:27 P.M. by the emergency room doctor.  AIU was notified and they responded to the scene."
2019-01-04,2019,1,4,22:30:00,"Dark - Roadway Not Lighted","Rain","Hamilton County","Colerain (Township of)",39.216336,-84.585312,TRUE,FALSE,"Unit #1 was southbound on Colerain Ave. Unit #2; a police officer wearing a reflective traffic vest; was retrieving orange safety cones from the southbound lanes of Colerain Ave. Unit #1 struck Unit #2"
2019-03-17,2019,3,17,21:53:00,"Dark - Lighted Roadway","Rain","Franklin County","Columbus",39.93742,-83.06738,TRUE,FALSE,"Driver of Unit 1 was traveling East on Eakin Rd  Pedestrian was crossing Eakin Rd;  West of S Richardson Ave.  Unit 1 struck the Pedestrian immediately before entering the intersection Of Eakin Rd and S Richardson Ave.  Unit 1 stopped approximately 250' after the intersection of Eakin Rd and S Richardson Ave.    Pedestrian transported to Grant Hospital by CFD Medic 12 with life threatening head injuries. Pedestrian pronounced deceased at 22:30.  CPD AIU responded to scene and Unit 1 was impounded to 2700 Impound Lot Rd by PRO-TOW.    Witness 1 stated that he was driving behind Unit 1 headed East on Eakin Rd and observed Unit 1 strike the Pedestrian prior to the S Richardson Rd intersection.  Witness 1 stated that he observed the Pedestrian thrown by the force of the impact and land in the middle of Eakin Rd.  Witness 1 stated that he stopped his vehicle behind Unit 1; which was stopped; and then called 911."
2019-03-03,2019,3,3,00:11:00,"Dark - Lighted Roadway","Cloudy","Lake County","WICKLIFFE",41.618483,-81.459671,TRUE,FALSE,"Unit 1 was traveling in the parking lot of 30315 Euclid and struck Unit 2; a pedestrian; causing serious injury.  Unit 2 later died as a result of his injuries.  See Wickliffe PD incident report #1900554."
2019-03-03,2019,3,3,07:15:00,"Daylight","Cloudy","Summit County","Akron",41.079242,-81.518588,TRUE,FALSE,"A pedestrian was standing on the sidewalk in front of 874 Merriman Rd.  Unit 1 was northbound on Merriman; went left of center and struck a small tree on the devil strip.  Unit 1 continued along the devil strip; striking the pedestrian and a light pole.  The driver of unit 1 fled the scene.  The vehicle was discovered abandoned at 2460 Akron-Peninsula Rd.  The listed witnesses heard the high revving engine of unit 1 and saw it leaving the area but did not see the collision."
2019-03-23,2019,3,23,15:05:00,"Daylight","Clear","Hamilton County","CINCINNATI",39.151281,-84.600401,TRUE,FALSE,"Unit 2 was traveling north on Harrison Ave.  Unit #3 was legally parked on Harrison Ave.  Unit #1 ran into traffic from between parked cars.  Unit #2 struck Unit #1.  Unit #1 then struck the rear of Unit #3."
2019-02-20,2019,2,20,06:42:00,"Dark - Lighted Roadway","Rain","Hamilton County","Cincinnati",39.132694,-84.499857,TRUE,FALSE,"Unit #2; a pedestrian was walking westbound on E. University Av in a crosswalk; with a walk light. Unit #1 operated southbound on Vernon Pl then turned westbound on E. University Av and failed to yield to Unit #2 striking her. Unit #1 fled westbound on E. University Av. Unit #2 was killed as a result of this crash.  SUPPLEMENTAL REPORT: CLOSE INACTIVE PER TIM HORSLEY CITY OF CINCINNATI CHIEF PROSECUTOR."
2019-03-30,2019,3,30,20:18:00,"Dark - Unknown Roadway Lighting","Freezing Rain or Freezing Drizzle","Huron County","WILLARD",41.042679,-82.725883,TRUE,FALSE,"Unit 1 was traveling Eastbound on St Rt 224. As unit 1 was approaching the intersection of Myrtle Ave and St Rt 224; she observed a male subject walking from the north side of the road (St Rt 224) towards the south. As she was crossing through the intersection while the traffic light was green; the male subject ran out in front of her. The subject was struck; went on the hood; and then came to rest in the roadway approximately 15 feet from where Unit 1 came to rest while breaking."
2019-04-11,2019,4,11,13:55:00,"Daylight","Clear","Franklin County","Columbus",40.00382,-83.15713,TRUE,FALSE,"Units 1; 2; and 3 (Pedestrians) were attempting to cross Roberts Rd at Hickory Mill from north to south. Unit 4 was E/B Roberts Rd.; east of Hickory Mill. According to Witnesses 1 & 2; Units 1; 2; and 3 darted into the path of and were subsequently struck by Unit 4. Off duty Columbus Fire Medic (Witness 3) assessed injuries and gave medical attention to the victims. Columbus Fire Medic 30 and Norwich Two Medic 82 arrived on scene and transported 2 juveniles to Nationwide Children's hospital; 1 stable and 1 w/life threatening injuries. PrairieTwp Medic 244 transported the adult pedestrian (Unit 1) to Grant Hospital with life threatening injuries. Children's hospital staff pronounced 1 of the juveniles deceased at 1500 hours. Accident Investigation Unit Detectives responded to scene and assumed Incident Command at time of report.    4/28/19- Tiffany Bronson was pronounced dead today; 4/28/19; at 1737 hrs by Dr. Natasha Boydstum of Grant Hospital...MAR/AIS"
2019-04-11,2019,4,11,15:14:49,"Daylight","Clear","Medina County","BRUNSWICK",41.228493,-81.840558,TRUE,FALSE,"Unit 1 was attempting to park in a parking spot at 1733 US 42.  Units 2 and 3 were seated on the curb directly in front of the parking spot.  Unit 1 accelerated over the curb and struck units 2 and 3.  Unit 3 was knocked away from the vehicle.  Unit 2 was pinned under the vehicle and succumbed to her injuries."
2019-03-28,2019,3,28,03:06:00,"Dark - Lighted Roadway","Clear","Cuyahoga County","University Heights",41.501334,-81.518844,TRUE,FALSE,"Unit# 1 was eastbound on Cedar Road and after crossing S.Green Road; it entered an active construction zone. The driver  struck 2 construction workers (Unit #s 2 and 3). Unit# 1 did not stop after the accident and fled the area."
2019-05-04,2019,5,4,17:32:00,"Daylight","Clear","Lucas County","TOLEDO",41.638,-83.54626,TRUE,FALSE,"Unit #1 crossed the 900 block of Broadway going east.  Unit #1 was struck by Unit #2; which was in the right lane going N/E.  Unit #1 was taken to St. Vincents Hospital where he was pronounced deceased; TFD on-scene.  Unit #1 did not cross in a crosswalk; traffic was heavy.  Witnesses stated that Unit #1 ran out in front of traffic.  Witness #1 and #3's DOB are unknown."
2019-02-23,2019,2,23,14:25:00,"Daylight","Clear","Pickaway County","PICKAWAY (TOWNSHIP OF)",39.50704,-82.97368,TRUE,FALSE,"Unit #1 was traveling northbound on US 23 approaching State Route 361. Unit #2 was disabled on the east side of the roadway. Unit #3; a passenger in Unit #2 was attempting to fix a tire on the vehicle that Unit #2 was towing.  Unit #1 was traveling northbound; in the right hand lane; striking unit #3 that was in the northbound lane of travel.  Unit #1 continued north and struck Unit #2 in the back left of the vehicle; causing Unit #1 to lose it's front right side tire and causing the pedestrian to go airborne. The pedestrian landed roughly 20 yards north of Unit #2. Unit #1 continued north into the median where it made a 180 degree turn and then roll over. Unit #1 came to final rest on its wheels in the median.   The pedestrian; Christopher C. Campbell; was transported to Berger E.R. where shortly after he was pronounced dead. The two occupants in Unit #2; Aron J. Alexander and Misty S. Campbell; were transported to Berger E.R. with minor injuries. The driver of Unit #1; Christina L. Fay; was transported to Berger E.R. with minor injuries.     On 03-20-19 at 0906 hours this unit Detective Tracy Andrews of the Pickaway County Sheriff’s Office and the Franklin County Sheriff’s Office Crash Reconstruction Team executed a search warrant on a 2016 Toyota Avalon VIN#4T1BK1E9GU231903 located at The Pickaway County Sheriff’s Office Impound lot 600 Island Rd. Circleville; Ohio 43113 to"
2019-06-06,2019,6,6,19:56:00,"Daylight","Clear","Lorain County","Avon Lake",41.501006,-82.063937,FALSE,TRUE,"The driver of Unit #1 was traveling westbound on Lake Road and just passed the intersection of Lake and Miller Road.  Unit #2 was traveling westbound in the bike lane which is on the north side of Lake Road.  Unit #1 struck Unit #2 causing the cyclist to be ejected off his bike and he landed on the sidewalk with the bicycle on top of him.  The cyclist sustained a major head injury in the area of 33820 Lake Road and was breathing but unconscious.  The Avon Lake Rescue Squad responded and Life Flight took the cyclist to Metro Health Hospital.  It was later learned that the cyclist died as a result of the injuries sustained in the accident.  The driver of unit #1 continued westbound on Lake Rd and was stopped by a Sheffield Lake PD Officer.  She was subsequently arrested and charged with OVI and Reasonable control.  After the death of the cyclist she was additionally charged with Aggravated Vehicular Homicide and Leaving the Scene of an Accident."
2019-06-18,2019,6,18,03:35:00,"Dark - Lighted Roadway","Cloudy","Franklin County","Columbus",39.93225,-82.931238,TRUE,FALSE,"Unit 1 (Pedestrian) entered into the Interstate (IR) 70 eastbound four lane (exit lane to United States Route 33) from the south side of IR 70 eastbound.  Unit 2 traveled IR 70 eastbound in the four lane (exit lane to United States Route 33).  Unit 2 struck Unit 1 in the IR 70 eastbound exit lane to US 33.  Diagram shows final resting place of Units 1 and 2.  Pedestrian #1 was taken to Grant Medical Center and pronounced dead at 4:04 AM by hospital staff."
2019-06-18,2019,6,18,17:55:00,"Daylight","Clear","Lucas County","TOLEDO",41.62982,-83.58588,TRUE,FALSE,"Unit #2 was stopped on the side of the road at 530 Toronto (one way street) while the occupants talked with several people.  Numerous children were running around at the time.  The witness escorted the children back to the front porch as Unit #2 prepared to leave.  Everyone failed to see that a two year old child; pedestrian #1;  was standing in front of the front bumper of the truck.  Driver #2 started to pull away and struck pedestrian #1.  The child (pedestrian #1) was dragged under the truck before driver #2 could bring the truck to a stop.  Despite efforts of bystanders; neighbors; first responders; and emergency room staff; the child (pedestrian #1) was pronounced deceased at the University of Toledo Medical Center."
2019-03-31,2019,3,31,00:26:00,"Dark - Lighted Roadway","Rain","Franklin County","Columbus",39.94411,-82.94911,TRUE,FALSE,"On the above listed date and time at the above listed location officers were dispatched on an unknown complaint. Upon arrival officers observed a deceased female laying on the sidewalk at the Driving Park on Rhoads Avenue. The female was pronounced deceased by CFD Medic 14 at 12:36 AM. There were tire marks in the grass near the body which made it appear that the vehicle that struck the female was driving in circles to get the female off of the vehicle.   After further investigation; a boot and umbrella were found near the intersection of Fairwood Avenue and East Whittier Street. It appeared that the female was initially struck by a vehicle near the intersection of Fairwood Avenue and East Whittier Street and then the female stuck onto unit #1 and was drug to Rhoads Avenue where the female fell off the vehicle.   CPD's Accident Investigation Unit then arrived and processed the scene."
2019-07-13,2019,7,13,15:23:00,"Daylight","Clear","Lucas County","TOLEDO",41.65289,-83.60532,FALSE,TRUE,"Unit #1 was traveling eastbound on Dorr St approaching Fairlawn Ave in the left lane.  Unit #2 was traveling westbound on Dorr St approaching Fairlawn Ave along the right curb.  Unit #2 turned left in front of Unit #1 and was struck by Unit #1.    RB030447-19     THE SUPPLEMENTAL REPORT THAT WAS SUBMITTED BY OFFICER GOETZ WAS INCORRECT.  THAT REPORT INDICATED THAT DRIVER #1 HAD DIED AS A RESULT OF THE ACCIDENT. IT WAS  THE BICYCLIST OF UNIT 2; IMRANUR RAHMAN; THAT SUCCOMBED TO HIS INJURIES ON 7/17.    IN ADDITION; THE ORIGINAL DIAGRAM LISTS THE CAR AS UNIT 2.  THE CAR SHOULD BE LABLED UNIT 1."
2019-07-02,2019,7,2,21:29:00,"Dark - Lighted Roadway","Cloudy","Summit County","Akron",41.079242,-81.518588,TRUE,FALSE,"Dispatch received several calls reference a black male that was running on the highway at Rt 8 N/Perkins St. The callers stated that he was waving a white shirt or towel around trying to flag cars down. Another caller stated that he was running from right to left on the highway. Several cars were able to swerve and miss the victim as he was running in traffic.      Unit #1 entered Rt 8 N from the Buchtel Ave entrance ramp. Unit #1 went from lane 3 to lane 2 and then noticed that a white van had stopped and then swerved to the right. Unit #1 then saw the victim on the white line between lanes 1 and 2. Unit #1 stated; "" I  slammed on my breaks and swerved to try to miss him but was unable to and hit him.""      Unit #1 stopped as well as other witnesses and rendered first aid and CPR to the victim until EMS arrived on scene. The victim was transported to Akron City Hospital."
2019-07-28,2019,7,28,00:05:00,"Dark - Lighted Roadway","Clear","Franklin County","Columbus",39.93632,-82.98359,TRUE,FALSE,"On 07/28/2019 at 12:05 AM; Unit #1 entered the roadway on Parsons Ave just south of the intersection of Parsons Ave & Hanford Ave and began stumbling around in the street (not in a crosswalk.) Unit #2 was traveling northbound on Parons Ave approaching the intersection of Parsons Ave & Hanford St. Just south of the intersection of Parsons Ave & Hanford St; Unit #2 struck Unit #1. Unit #2 then fled the scene and continued northbound on Parsons Ave. Unit #3 was also driving northbound and struck Unit #1 again just south of the intersection of Parsons Ave & Hanford St. Police and Medics arrived on scene shortly after to find Unit #1 still lying in the street. CFD Medic XM32 transported Unit #1 to Grant Hospital where Unit #1 was prounounced shortly after arriving by Grant Medical Staff. Police held the scene for AIU detectives. AIU detectives processed the scene. While the detetcives were processing the scene; the driver of Unit #2 came back to the scene and was detained by Police for the Hit/Skip investigation. Police completed the accident report."
2019-07-30,2019,7,30,00:46:00,"Dark - Unknown Roadway Lighting","Rain","Franklin County","Columbus",39.984439,-82.984896,TRUE,FALSE,"The driver of unit 1 stated she was n/b on 71 in the 1 lane when she struck the rear of unit 2 (who was stopped in the 1 lane).  Unit 2 then struck the rear of unit 3.  Unit 1 1 swerved into the 2 lane after the collision with unit 2 and struck unit 4.  There were 4 pedestrians on the freeway assisting a woman who had crashed her vehicle.  The collision between units 1 and 2 caused unit 2 caused the 4 pedestrians to be struck by units 2; 3 and debris from the collision of units 1 and 2.  The woman injured in the initial accident was seated in the back seat of unit 3.  Units 2 and 3 were parked on the freeway in the 1 lane. The accident investigation unit responded to the scene to complete the traffic crash reconstruction.  The list of injuries are on the OH-2."
2019-08-01,2019,8,1,16:47:00,"Daylight","Clear","Franklin County","Columbus",39.91879,-82.83431,TRUE,FALSE,"Accident occurred northbound on Gender Rd just south of Bennell Rd. Unit #1 was tarveling northbound on Gender rd approaching Bennell rd. Information gathered from witnesses Unit #2 was walking northbound on the side of gender rd outside the lane of travel. Unit #1 stated that his vehicle loeft the raod getting into the gravel and then ito the grass when he saw Unit #2 walking on the side of the road. Unit #1  stated he tried to get back on the road when Unit #2 ran into the roadway and thats when unit #1 struck Unit #2. Unit #1 stated his vehicle came to rest off  the road in the grass north of the collision. Unit #2 came to rest in the the intersection of Gender Rd and Bennell rd. Unit #2 was transported by CFd medic 32 to Mount carmel east Hospital in life threatening condition. All lanes of travel were shut down at this time. Accident investiagtive unit responded and took control of the scene. Unit #1 vehicle was impounded at CPD impound lot for safe keeping."
2019-07-14,2019,7,14,21:49:00,"Dark - Roadway Not Lighted","Clear","Hamilton County","Colerain (Township of)",39.21775,-84.58557,TRUE,FALSE,"Unit 1; a pedestrian was crossing US 27 (Colerain Avenue) east bound from 7905 Colerain Avenue to 7900 Colerain Avenue.  Unit 2 was traveling north on US 27 (Colerain Avenue) in the left of two north bound lanes of travel.  Unit 3 was traveling north on US 27 (Colerain Avenue) in the left of two northbound lanes of travel.  Unit 1 failed to yield the right of way to Unit 2 and walked into Unit 2's lane of travel.  Unit 2 struck Unit 1 and fled the scene failing to stop and exchange information with Unit 1.  After Unit 1 was struck; Unit 1 was in an unknown position and facing an unknown direction in the left of two north bound lanes of travel.  Unit 1 was then struck by an undetermined amount of vehicles including Unit 3 causing Unit 1 to come to an uncontrolled final rest facedown on the asphalt with his head facing south and his feet north."
2019-08-17,2019,8,17,21:53:00,"Dark - Lighted Roadway","Clear","Franklin County","Columbus",39.949421,-83.022265,TRUE,FALSE,"The Pedestrian departed COTA Bus #3 on the North side of W Mound St at Mt Calvary Ave. After the COTA Bus pulled away; the Pedestrian began crossing W Mound St heading south not in a crossway or intersection. Unit #2 was traveling Eastbound on W Mound St. Unit #2 struck the Pedestrian with the left side of the front bumper. The Pedestrian landed in the Westbound lane. CFD Medic 10 arrived and began first aid. CFD Medic transported the Pedestrian to Grant Hospital. Dr. Spalding pronounced the Pedestrian and the Pedestrian's fetus at 10:28pm. Witness #1 was traveling behind Unit #2 eastbound on W Mound St just passed Mt Calvary Ave when she saw the Pedestrian crossing over the street. Witness #1 stated Unit #2 had no time to stop for the Pedestrian. The other Witnesses stated they saw the Pedestrian in the roadway get struck but not leading up to the incident. The driver of Unit #2 was released at the scene but the vehicle impounded due to the Pedestrian passing away."
2019-06-10,2019,6,10,02:59:00,"Dark - Lighted Roadway","Cloudy","Summit County","Akron",41.101975,-81.472288,TRUE,FALSE,"Unit 1 traveled east bound on E Tallmadge Av. Unit# 2/Ped traveled from north to south across E Tallmadge Ave at Redstone Av. The Unit# 2/Ped was struck by Unit 1 ."
2019-07-05,2019,7,5,14:46:59,"Daylight","Clear","Clermont County","UNION (TOWNSHIP OF)",39.108532,-84.238419,FALSE,TRUE,"Unit #1 was traveling west on Schoolhouse Rd.  Unit #2 was traveling North on Tealtown Rd.  Witnesses stated that Unit #1 ran the stop sign on his bicycle and was struck by Unit #2.  Unit #2 took evasive measures and a collision still occured.  Unit#1 received fatal injuries."
2019-09-03,2019,9,3,03:20:00,"Dark - Roadway Not Lighted","Clear","Franklin County","Columbus",39.98299,-82.81638,TRUE,FALSE,"Officers responded on a report of a pedestrian struck on E Broad St near Reynoldsburg-New Albany Rd. Upon arrival; witness stated she and unit #1 were travelling eastbound on E Broad St just west of Reynoldsburg-New Albany Rd when unit #1 pulled over to the right shoulder. Witness stated unit #1 exited her vehicle to retrieve something from the trunk. Witness stated she then saw something rolling eastbound on E Broad St. The witness stated she realized unit #2 had struck unit #1 and continued eastbound on E Broad St. AIU investigation is requested. Additional witnesses are Diamond E Gellineau #516-270-0821 and Brittany Patterson #614-390-9585. Unit #2 was located by Reynoldsburg Police Officer Aamodt #117. He was working special duty at the Limited located at 3 Limited Pkwy Reynoldsburg; Ohio 43068."
